epoch,steps,train_loss,train_accuracy,test_accuracy,elapsed_seconds,levels_remaining,refreshes_so_far,max_abs_z,activation_range_exceeded,fraction_outside_range
0,2,0.1645716705031727,0.9142857142857143,0.8666666666666667,5.336166499999763,0,0,1.1123469712603486,False,0.0
1,2,0.12416927120729514,0.9285714285714286,0.9,5.868007500000203,0,1,1.9189313607498868,False,0.0
2,2,0.10394661607577728,0.9428571428571428,0.9,6.007708099999945,0,2,2.5100845680587343,False,0.0
3,2,0.09250840373164393,0.9428571428571428,0.9,5.662977500000125,0,3,2.943430240571517,True,0.05714285714285714
4,2,0.08471949587251179,0.9428571428571428,0.9,5.677755100000013,0,4,3.2858242850827732,True,0.08571428571428572
5,2,0.0792792721798815,0.9428571428571428,0.9,5.73245339999994,0,5,3.5662519515282267,True,0.12857142857142856
