epoch,train_loss,train_accuracy,test_accuracy,elapsed_seconds,max_abs_z,activation_range_exceeded,fraction_outside_range
0,0.16458292936988575,0.9142857142857143,0.8666666666666667,0.0004183999999440857,1.1121565764491053,False,0.0
1,0.1241779197277158,0.9285714285714286,0.9,0.00019480000037219725,1.918716558857529,False,0.0
2,0.10395298158923692,0.9428571428571428,0.9,0.0001602000002094428,2.5098898063206,False,0.0
3,0.0925132319857007,0.9428571428571428,0.9,0.00015399999983856105,2.9432666594761163,True,0.05714285714285714
4,0.0847237015193661,0.9428571428571428,0.9,0.000146500000028027,3.2856632562910697,True,0.08571428571428572
5,0.07928289759872138,0.9428571428571428,0.9,0.00014489999966826872,3.5660587662960874,True,0.12857142857142856
