epoch,steps,train_loss,train_accuracy,test_accuracy,elapsed_seconds,levels_remaining,refreshes_so_far,max_abs_z,activation_range_exceeded,fraction_outside_range
0,2,0.16457471130952622,0.9142857142857143,0.8666666666666667,12.370759200000066,5,1,1.1122924722132468,False,0.0
1,2,0.12417087542725803,0.9285714285714286,0.9,9.89024389999986,5,3,1.9188937462244333,False,0.0
2,2,0.10394748627902116,0.9428571428571428,0.9,9.469875500000398,5,5,2.510067041015525,False,0.0
3,2,0.09250868182815708,0.9428571428571428,0.9,9.220851500000208,5,7,2.943439185854147,True,0.05714285714285714
4,2,0.08471983559250196,0.9428571428571428,0.9,9.455433899999662,5,9,3.285837285203233,True,0.08571428571428572
5,2,0.07927959579293219,0.9428571428571428,0.9,8.926117800000156,5,11,3.566259983156589,True,0.12857142857142856
